Image,Predicted_Age1,Predicted_Age2,Predicted_Age3,Predicted_Age4,Predicted_Age5,Predicted_Age6,Predicted_Age7,Predicted_Age8,Average_Age,Target_Age,Sigma,Total_Sigma,Diff,Squared_Diff,Total,Exponent,Error
5636.jpg,31,33,37,24,22,42,23,20,29,27,9,148,2.0176222324,4.0707994728,-0.0275732667,0.9728034058,0.0271965942
5637.jpg,24,34,9,42,17,24,11,37,25,44,6,78,-19.2672696114,371.2276782765,-4.7596672777,0.0085684598,0.9914315402
5638.jpg,25,25,27,29,26,28,27,28,27,30,4,35,-3.0925745964,9.5640176343,-0.2701669791,0.7632520365,0.2367479635
5639.jpg,43,47,51,48,46,55,35,38,45,55,9,165,-9.5100765228,90.4415554701,-0.5470951554,0.5786281965,0.4213718035
5640.jpg,30,39,27,33,31,39,38,35,34,35,6,71,-0.7858245373,0.6175202034,-0.008678101,0.991359445,0.008640555
5641.jpg,21,21,27,13,19,18,17,19,19,24,3,24,-4.6466245651,21.5911198493,-0.9004614445,0.4063820937,0.5936179063
5642.jpg,40,36,44,52,53,38,51,46,45,47,5,58,-2.0280604363,4.1130291331,-0.0704758296,0.9319502648,0.0680497352
5643.jpg,52,52,46,55,54,53,52,53,52,54,5,60,-1.8176250458,3.3037608071,-0.0552902119,0.9462105066,0.0537894934
5644.jpg,57,53,58,59,55,56,54,56,56,64,6,79,-7.9983143806,63.9730329314,-0.8072518618,0.4460822791,0.5539177209
5645.jpg,48,46,49,42,47,45,46,47,46,47,7,98,-0.8522558213,0.7263399849,-0.0074173982,0.9926100428,0.0073899572
5646.jpg,24,24,12,22,10,13,12,10,16,16,2,11,0.1417462826,0.0200920086,-0.0019053727,0.9980964414,0.0019035586
5647.jpg,27,30,26,29,26,25,24,37,28,32,4,37,-3.9970469475,15.9763843004,-0.4366997465,0.6461654157,0.3538345843
5648.jpg,38,41,44,44,39,40,32,39,40,40,10,208,-0.3122143745,0.0974778157,-0.0004692276,0.9995308824,0.0004691176
5649.jpg,26,28,30,31,29,33,30,30,30,28,4,31,1.6631610393,2.7661046428,-0.0895139291,0.9143755286,0.0856244714
5650.jpg,16,14,8,12,14,15,9,18,13,11,2,8,2.3696695566,5.6153338076,-0.7094307845,0.4919241286,0.5080758714
5651.jpg,25,25,26,27,28,28,26,26,26,25,3,16,1.445595026,2.0897449792,-0.1310638115,0.8771617996,0.1228382004
5652.jpg,29,31,36,34,37,36,40,31,34,51,7,93,-16.7044825554,279.039737443,-3.0046117729,0.0495579903,0.9504420097
5653.jpg,30,36,39,28,28,28,25,37,32,34,5,49,-2.4900183678,6.2001914719,-0.1254213337,0.8821251552,0.1178748448
5654.jpg,26,28,28,24,26,30,27,27,27,31,4,38,-3.9324743748,15.4643547083,-0.4078933291,0.6650498165,0.3349501835
5655.jpg,40,37,36,39,38,38,37,40,38,36,5,42,2.2847614288,5.2201347867,-0.1240673746,0.8833203255,0.1166796745
5656.jpg,27,27,32,27,27,29,26,26,28,31,6,62,-3.3620517254,11.3033918043,-0.1823475768,0.8333116503,0.1666883497
5657.jpg,34,36,34,35,33,35,35,35,35,39,6,76,-4.4727520943,20.0055112969,-0.2636409396,0.7682493381,0.2317506619
5658.jpg,44,42,43,46,46,46,51,45,46,52,7,92,-6.4455666542,41.5453294936,-0.4527247026,0.6358931693,0.3641068307
5659.jpg,32,37,35,39,33,35,32,39,35,38,4,30,-2.8495035172,8.1196702943,-0.2709327442,0.7626677885,0.2373322115
5660.jpg,27,29,25,27,25,26,27,26,26,26,4,25,0.4649920464,0.2162176032,-0.0088237118,0.9912151029,0.0087848971
5661.jpg,24,27,35,30,26,29,25,26,28,19,4,25,8.8110907078,77.6353194603,-3.0866024595,0.0456568121,0.9543431879
5662.jpg,35,37,36,33,36,35,37,36,36,46,6,72,-10.3223571777,106.5510577046,-1.4737158817,0.2290726947,0.7709273053
5663.jpg,44,47,51,43,51,50,43,49,47,50,6,75,-2.7900767326,7.784528174,-0.1037592184,0.901442322,0.098557678
5664.jpg,30,29,31,31,28,29,35,26,30,23,4,40,6.9978628158,48.9700839894,-1.2346422517,0.2909388266,0.7090611734
5665.jpg,26,28,29,29,27,30,23,26,27,30,5,42,-2.7435698509,7.5271755269,-0.1811376616,0.8343204969,0.1656795031
5666.jpg,49,47,48,48,44,48,50,50,48,47,6,66,1.053302288,1.10944571,-0.0167567021,0.9833829106,0.0166170894
5667.jpg,28,31,40,27,39,26,31,27,31,72,6,84,-40.6796381474,1654.8329598006,-19.8177013517,2.47332768606484E-009,0.9999999975
5668.jpg,41,37,30,42,46,36,45,42,40,46,6,80,-5.9856350422,35.8278268582,-0.4502487466,0.6374695635,0.3625304365
5669.jpg,5,33,5,33,8,4,34,29,19,38,1,1,-19.2719969749,371.4098674022,-394.3498887696,5.44526936516436E-172,1
5670.jpg,52,48,52,52,52,49,50,52,51,52,6,62,-1.0082697869,1.0166079631,-0.0164479765,0.9836865529,0.0163134471
5671.jpg,16,14,21,23,9,22,17,15,17,15,2,8,1.984008193,3.9362885099,-0.4958621604,0.6090455859,0.3909544141
5672.jpg,27,31,30,27,30,29,32,31,29,25,4,38,4.483066082,20.0978814956,-0.5248361705,0.5916522865,0.4083477135
5673.jpg,56,53,56,54,56,56,59,57,56,67,8,120,-11.2901506424,127.4675015278,-1.0580283282,0.3471395813,0.6528604187
5674.jpg,27,26,25,30,27,20,15,28,25,36,11,221,-11.1818759441,125.0343496301,-0.5650350766,0.568340211,0.431659789
5675.jpg,53,52,52,48,51,52,52,49,51,51,7,105,0.3038101196,0.0923005888,-0.0008797418,0.9991206451,0.0008793549
5676.jpg,38,36,34,38,38,39,38,40,38,34,4,29,3.6930503845,13.6386211426,-0.4738503664,0.6226004075,0.3773995925
5677.jpg,57,59,57,59,53,55,58,61,57,71,8,139,-13.5511636734,183.6340369037,-1.3198250516,0.2671820409,0.7328179591
5678.jpg,36,38,34,36,36,34,35,38,36,35,4,30,0.9676036835,0.9362568883,-0.0307248522,0.9697423588,0.0302576412
5679.jpg,27,28,31,26,33,30,34,32,30,28,6,66,2.0973730087,4.3989735378,-0.0662721746,0.9358761079,0.0641238921
5680.jpg,35,33,35,33,29,34,32,30,33,32,5,50,0.6634171009,0.4401222498,-0.0088593806,0.991179748,0.008820252
5681.jpg,43,47,43,45,46,44,43,44,44,44,7,88,0.3659439087,0.1339149443,-0.001524038,0.9984771228,0.0015228772
5682.jpg,26,35,28,50,47,51,29,31,37,48,10,192,-10.801197052,116.6658577561,-0.6077138053,0.544594496,0.455405504
5683.jpg,23,24,23,25,25,24,24,24,24,28,5,41,-4.1145703793,16.9296894058,-0.4083939856,0.6647169383,0.3352830617
5684.jpg,29,31,31,33,31,31,31,32,31,31,6,69,0.2032654285,0.0413168344,-0.0006028906,0.9993972911,0.0006027089
5685.jpg,24,23,23,23,27,26,24,27,25,26,3,20,-1.3408954144,1.7980005123,-0.0916814177,0.9123957764,0.0876042236
5686.jpg,29,29,26,24,23,25,25,28,26,26,4,35,0.0814752579,0.0066382176,-0.0001904325,0.9998095857,0.0001904143
5687.jpg,38,36,38,41,39,43,39,39,39,34,7,90,5.2013626099,27.0541729994,-0.2998066019,0.7409615074,0.2590384926
5688.jpg,7,29,4,2,10,31,5,5,12,6,1,3,5.6065565646,31.4334765117,-12.0142774076,6.0571121912583E-006,0.9999939429
5689.jpg,16,18,16,19,19,19,21,23,19,26,5,49,-6.9014183283,47.6295749419,-0.9719408538,0.3783480069,0.6216519931
5690.jpg,28,30,30,32,32,36,38,34,32,27,6,75,5.4851808548,30.0872090097,-0.3986893017,0.6711992094,0.3288007906
5691.jpg,31,34,32,30,36,33,33,32,33,34,5,51,-1.4549491406,2.1168770016,-0.0415389865,0.9593119344,0.0406880656
5692.jpg,57,57,59,55,58,55,58,58,57,64,8,117,-6.7405734062,45.4353298449,-0.387024735,0.6790742978,0.3209257022
5693.jpg,41,46,41,34,41,38,37,40,40,30,5,50,9.6344060898,92.8217807025,-1.8462073187,0.1578346491,0.8421653509
5694.jpg,24,25,26,22,25,27,24,28,25,16,2,10,8.8992507458,79.1966638361,-8.1979933146,0.0002752053,0.9997247947
5695.jpg,30,38,27,31,31,39,32,34,33,37,7,86,-4.1629273892,17.3299644475,-0.2023123843,0.8168397202,0.1831602798
5696.jpg,28,26,26,31,29,28,27,26,28,22,3,24,5.5764114857,31.0963650574,-1.3041110344,0.2714137053,0.7285862947
5697.jpg,27,31,30,32,36,32,33,28,31,38,6,72,-6.9768149853,48.6759473388,-0.6784834668,0.5073858767,0.4926141233
5698.jpg,30,36,40,39,35,36,41,28,36,46,7,96,-10.3905856609,107.964270377,-1.1261703464,0.3242727338,0.6757272662
5699.jpg,33,36,34,39,44,38,35,36,37,35,6,64,1.9690160751,3.8770243041,-0.0608535661,0.9409610183,0.0590389817
5700.jpg,37,45,67,39,59,29,56,29,45,85,7,93,-39.8685646057,1589.5024437198,-17.152173911,3.55553958216404E-008,0.9999999644
5701.jpg,31,33,31,33,34,27,26,31,31,33,7,95,-2.2216258049,4.935621217,-0.0517387831,0.9495768799,0.0504231201
5702.jpg,29,32,29,36,34,36,38,32,33,31,4,33,2.2931249142,5.258421872,-0.1600297782,0.852118414,0.147881586
5703.jpg,41,31,30,62,40,33,22,32,36,84,5,49,-47.5884487629,2264.6604556593,-46.201554483,8.60834834226426E-021,1
5704.jpg,36,36,34,35,38,35,35,36,36,27,4,36,8.6975927353,75.6481193889,-2.1278612362,0.1190917307,0.8809082693
5705.jpg,46,48,48,46,47,46,51,48,48,46,8,118,1.6210632324,2.6278460035,-0.0222033251,0.9780413545,0.0219586455
5706.jpg,29,32,31,32,33,30,30,30,31,27,7,88,3.7519373894,14.0770341737,-0.1607059099,0.8515424645,0.1484575355
5707.jpg,25,28,26,25,25,28,28,29,27,23,4,33,3.8314352036,14.679895719,-0.4492218209,0.6381245336,0.3618754664
5708.jpg,30,26,37,35,27,38,39,26,32,31,6,72,1.2348427773,1.5248366845,-0.0211925559,0.9790304283,0.0209695717
5709.jpg,51,51,55,59,53,58,52,57,55,54,6,75,0.507373333,0.257427699,-0.0034122675,0.9965935477,0.0034064523
5710.jpg,76,77,77,70,77,75,73,75,75,80,6,65,-4.8933944702,23.945309441,-0.3687833754,0.6915752064,0.3084247936
5711.jpg,27,23,26,24,25,26,26,26,25,36,5,49,-10.5285279751,110.8499013219,-2.2398306491,0.1064765347,0.8935234653
5712.jpg,10,9,10,7,8,11,8,8,9,11,2,9,-2.1873116493,4.7843322513,-0.514200774,0.5979783235,0.4020216765
5713.jpg,37,31,30,31,30,25,34,29,31,34,5,56,-3.1843183041,10.1398830617,-0.182500617,0.8331841299,0.1668158701
5714.jpg,55,57,54,54,54,55,56,54,55,56,7,99,-1.0777330399,1.1615085052,-0.0116754666,0.9883924272,0.0116075728
5715.jpg,47,51,49,51,48,50,49,51,49,44,6,61,5.4944319725,30.1887827002,-0.4960356183,0.6089399513,0.3910600487
5716.jpg,29,26,29,28,29,31,28,28,28,28,4,32,0.4486675262,0.2013025491,-0.0062950641,0.9937247083,0.0062752917
5717.jpg,30,34,34,39,34,33,35,36,34,27,5,51,7.4772193432,55.9088091061,-1.0913312472,0.3357692042,0.6642307958
5718.jpg,38,40,38,39,41,39,40,41,40,42,8,119,-2.4120345116,5.817910485,-0.0486906671,0.9524757162,0.0475242838
5719.jpg,35,27,28,34,37,44,32,42,35,43,6,67,-7.9663243294,63.462323321,-0.9435707873,0.3892354738,0.6107645262
5720.jpg,27,26,27,23,27,27,31,26,27,26,4,28,1.0248630047,1.0503441784,-0.0370064129,0.9636699554,0.0363300446
5721.jpg,32,33,37,39,26,41,39,40,36,31,6,70,4.7496695518,22.5593608517,-0.3213168882,0.7251934094,0.2748065906
5722.jpg,31,40,26,37,27,28,35,30,32,25,3,23,6.7011373043,44.9052411711,-1.9148112527,0.1473696456,0.8526303544
5723.jpg,23,20,35,21,21,30,21,21,24,29,5,55,-5.1705048084,26.734119974,-0.4837330059,0.6164777759,0.3835222241
5724.jpg,42,43,37,39,42,42,42,40,41,43,6,63,-1.9611086846,3.8459472726,-0.0610548358,0.9407716504,0.0592283496
5725.jpg,6,8,5,7,8,8,7,7,7,7,2,6,-0.0473096967,0.0022382074,-0.0003983204,0.9996017589,0.0003982411
5726.jpg,33,36,35,35,36,37,37,34,35,30,5,42,5.2721214295,27.7952643669,-0.6651259736,0.5142087469,0.4857912531
5727.jpg,29,14,33,28,32,29,26,26,27,26,4,35,1.1807968616,1.3942812285,-0.0403313721,0.9604711131,0.0395288869
5728.jpg,21,23,22,22,24,20,21,22,22,16,5,41,5.8320655823,34.0129889559,-0.8274223689,0.4371747104,0.5628252896
5729.jpg,28,28,31,33,27,30,37,37,32,39,7,97,-7.4432940483,55.4026262895,-0.5685793749,0.5663294093,0.4336705907
5730.jpg,30,31,33,32,30,29,31,30,31,29,4,38,1.7622797489,3.1056299135,-0.0807246782,0.9224476264,0.0775523736
5731.jpg,23,19,14,18,20,15,17,19,18,13,3,14,5.161872983,26.6449326923,-1.857670637,0.1560356711,0.8439643289
5732.jpg,59,63,64,60,62,56,58,62,60,77,7,98,-16.6424503327,276.9711530748,-2.8128391338,0.0600343048,0.9399656952
5733.jpg,41,38,43,42,44,47,48,43,43,43,6,70,0.1545038223,0.0238714311,-0.0003416061,0.9996584523,0.0003415477
5734.jpg,50,51,48,48,48,44,44,49,48,44,6,81,3.6513552666,13.3323952828,-0.1643959824,0.8484060015,0.1515939985
5735.jpg,22,21,21,22,22,20,21,22,21,23,2,11,-1.6613779068,2.7601765491,-0.2401442541,0.786514395,0.213485605
5736.jpg,50,49,47,45,44,51,44,45,47,39,7,86,7.8893117905,62.2412405274,-0.7249495976,0.4843489807,0.5156510193
5737.jpg,21,21,21,22,21,19,21,21,21,28,3,22,-7.2203762531,52.1338332367,-2.3314784298,0.0971520084,0.9028479916
5738.jpg,28,31,31,29,22,25,28,23,27,37,4,37,-9.721457243,94.5067309267,-2.5648187025,0.076933128,0.923066872
5739.jpg,31,33,31,32,31,35,32,32,32,33,5,53,-0.8401372433,0.7058305875,-0.0133794451,0.9867096618,0.0132903382
5740.jpg,27,28,29,29,27,27,27,28,28,31,5,45,-3.2857708931,10.796290362,-0.239445285,0.7870643364,0.2129356636
5741.jpg,32,30,49,51,53,45,44,37,43,32,6,67,10.5535020828,111.3764062119,-1.6636412876,0.1894478884,0.8105521116
5742.jpg,25,25,31,22,28,30,28,29,27,28,5,43,-0.7886044979,0.6218970541,-0.0146053844,0.9855007569,0.0144992431
5743.jpg,43,42,50,42,42,46,42,46,44,42,6,70,2.2370357513,5.0043289527,-0.0714720294,0.9310223185,0.0689776815
5744.jpg,26,24,26,24,25,25,24,26,25,30,4,39,-4.895895958,23.9697972311,-0.6103185781,0.543177797,0.456822203
5745.jpg,49,51,50,50,56,52,52,54,52,53,7,98,-1.2526674271,1.5691756828,-0.0160587537,0.9840695006,0.0159304994
5746.jpg,57,57,59,59,64,63,58,62,60,73,8,115,-12.9146876335,166.7891566716,-1.4541497328,0.233598901,0.766401099
5747.jpg,30,30,30,31,30,33,32,31,31,31,4,40,-0.0761077404,0.0057923881,-0.0001454089,0.9998546017,0.0001453983
5748.jpg,28,29,30,23,29,29,27,26,28,30,5,57,-2.4730153084,6.1158047154,-0.1066710125,0.8988213254,0.1011786746
5749.jpg,37,38,41,37,43,39,38,37,39,38,7,86,0.5691738129,0.3239588293,-0.0037506194,0.9962564053,0.0037435947
5750.jpg,40,42,31,39,30,34,36,33,36,47,8,138,-11.3487253189,128.7935663642,-0.9307740633,0.394248419,0.605751581
5751.jpg,31,32,27,32,32,31,32,29,31,27,7,107,3.76907444,14.2059221344,-0.1323095474,0.876069768,0.123930232
5752.jpg,37,44,39,40,44,39,43,40,41,37,6,76,3.7799582482,14.2880843578,-0.1867757262,0.8296297798,0.1703702202
5753.jpg,13,19,23,10,18,6,7,10,13,38,9,178,-24.8514595628,617.5950424015,-3.4767771314,0.0309068594,0.9690931406
5754.jpg,7,6,7,9,11,5,7,6,7,4,1,3,3.0350147486,9.2113145242,-2.6514779316,0.0705468725,0.9294531275
5755.jpg,29,20,24,22,23,19,31,24,24,25,6,71,-1.1258561611,1.2675520956,-0.0179101521,0.9822492814,0.0177507186
5756.jpg,27,26,27,28,26,29,26,28,27,32,4,35,-4.6973338127,22.0649449481,-0.6316803324,0.5316976212,0.4683023788
5757.jpg,28,37,27,29,27,29,32,33,30,28,5,44,2.4717338085,6.1094680201,-0.137879342,0.8712038031,0.1287961969
5758.jpg,16,9,8,15,14,16,15,18,14,10,2,6,3.6663761139,13.4423138084,-2.0702539617,0.1261537394,0.8738462606
5759.jpg,34,34,42,35,46,41,44,34,39,44,6,62,-5.2214794159,27.2638472906,-0.4364633646,0.6463181756,0.3536818244
5760.jpg,46,46,32,39,48,40,48,45,43,33,9,158,9.9618990421,99.2394325257,-0.6280506328,0.5336310306,0.4663689694
5761.jpg,49,57,52,52,56,55,53,44,52,44,4,36,8.1720643044,66.7826349945,-1.8622378525,0.1553246475,0.8446753525
5762.jpg,28,47,33,48,45,50,49,34,42,50,5,59,-8.2491879463,68.0491017735,-1.144485424,0.3183877103,0.6816122897
5763.jpg,29,29,33,30,28,31,30,29,30,30,5,47,-0.2803270817,0.0785832727,-0.001686196,0.9983152248,0.0016847752
5764.jpg,25,19,20,30,14,30,23,26,23,29,8,135,-5.7375355959,32.9193147141,-0.2437474711,0.7836855125,0.2163144875
5765.jpg,24,29,37,27,24,37,41,27,31,31,5,57,-0.3279027939,0.1075202422,-0.0018958097,0.9981059862,0.0018940138
5766.jpg,31,37,31,27,29,30,25,28,30,31,5,57,-1.3572602272,1.8421553244,-0.0322636363,0.9682512822,0.0317487178
5767.jpg,35,36,37,37,39,39,33,36,37,43,7,94,-6.382932663,40.74182938,-0.4341585803,0.6478095175,0.3521904825
5768.jpg,30,32,33,27,26,31,26,32,30,33,5,56,-3.4041345119,11.5881317754,-0.2055697274,0.8141833217,0.1858166783
5769.jpg,67,71,67,71,69,71,72,70,70,86,2,8,-16.1809892654,261.8244136085,-32.4630472414,7.97035595346605E-015,1
5770.jpg,30,35,35,33,32,28,30,36,32,32,4,30,0.4017548561,0.1614069644,-0.0053647781,0.9946495867,0.0053504133
5771.jpg,42,48,45,42,50,45,50,41,45,49,8,143,-3.5316133499,12.4722928534,-0.0872665763,0.9164327638,0.0835672362
5772.jpg,60,57,55,63,60,49,59,61,58,65,7,96,-6.9841179848,48.777904025,-0.5069305737,0.6023415874,0.3976584126
5773.jpg,23,19,21,25,20,18,25,12,20,18,1,2,2.3760408163,5.6455699608,-2.3643280242,0.0940124532,0.9059875468
5774.jpg,40,38,42,38,38,37,40,39,39,37,8,118,2.031496048,4.126976193,-0.0349849005,0.9656199965,0.0343800035
5775.jpg,51,49,54,54,52,49,50,53,51,53,7,85,-1.5654101372,2.4505088975,-0.028913378,0.9715006142,0.0284993858
5776.jpg,45,59,46,58,55,57,65,41,53,84,8,125,-30.6418290138,938.921685313,-7.51884784,0.0005427575,0.9994572425
5777.jpg,42,54,35,39,44,41,40,39,42,35,7,111,6.7568492889,45.6550123133,-0.4114011733,0.6627210123,0.3372789877
5778.jpg,52,54,50,51,53,54,48,48,51,50,8,132,1.2372670174,1.5308296723,-0.0115762068,0.9884905397,0.0115094603
5779.jpg,59,40,62,45,51,55,59,63,54,69,6,68,-14.8029503822,219.1273400191,-3.2410699674,0.0391220134,0.9608779866
5780.jpg,35,36,33,33,31,42,34,39,36,38,6,83,-2.481064558,6.1556813411,-0.0742984329,0.928394589,0.071605411
5781.jpg,37,39,36,29,35,43,33,31,35,29,6,64,6.2989497185,39.6767675557,-0.6209957136,0.5374090656,0.4625909344
5782.jpg,56,59,58,58,56,61,57,56,57,61,5,60,-3.5259160995,12.432084341,-0.2074236272,0.8126753057,0.1873246943
5783.jpg,25,27,21,26,23,23,25,23,24,27,6,61,-2.699326992,7.2863662099,-0.1189827203,0.8878231419,0.1121768581
5784.jpg,27,33,28,27,28,33,29,33,30,22,3,17,7.8565917015,61.726033164,-3.6536930442,0.0258953194,0.9741046806
5785.jpg,21,22,24,24,21,21,20,24,22,25,4,29,-2.6571321488,7.0603512559,-0.2403523832,0.7863507155,0.2136492845
5786.jpg,49,51,54,53,55,48,49,47,51,42,5,53,8.9239964485,79.6377126131,-1.5138021181,0.2200716469,0.7799283531
5787.jpg,46,48,50,41,46,48,42,41,45,39,6,66,6.2035841942,38.4844568545,-0.5866980235,0.5561606857,0.4438393143
5788.jpg,32,30,27,28,28,26,29,38,30,26,3,17,3.8859832287,15.1008656536,-0.8733138339,0.4175655112,0.5824344888
5789.jpg,54,57,62,54,56,61,61,56,58,65,7,97,-7.3254766464,53.6626080971,-0.5549104574,0.5741236674,0.4258763326
5790.jpg,23,24,27,21,12,26,28,22,23,27,5,43,-3.9227129221,15.3876766692,-0.3581760561,0.6989500098,0.3010499902
5791.jpg,24,26,22,24,22,22,21,24,23,22,4,34,1.1413080692,1.3025841089,-0.0383751149,0.9623518807,0.0376481193
5792.jpg,5,5,5,4,5,7,6,4,5,3,1,2,1.9787337482,3.9153872462,-2.5421848818,0.0786942741,0.9213057259
5793.jpg,31,35,35,35,28,27,28,32,32,24,4,28,7.5039887428,56.3098470524,-1.9952743215,0.1359763478,0.8640236522
5794.jpg,37,37,55,47,40,48,40,38,43,47,6,72,-4.2825350762,18.3401066785,-0.2550217788,0.7748996214,0.2251003786
5795.jpg,50,47,47,46,46,47,48,48,47,59,6,83,-11.7147674561,137.2357765495,-1.6581192272,0.1904969248,0.8095030752
5796.jpg,29,30,29,32,30,32,30,23,29,32,5,60,-2.5345654488,6.424022014,-0.1076411195,0.8979497953,0.1020502047
5797.jpg,33,34,32,33,36,33,34,33,34,34,4,38,-0.4212222099,0.1774281501,-0.0046471864,0.9953635951,0.0046364049
5798.jpg,38,38,40,32,36,34,29,40,36,42,5,53,-6.2747316361,39.3722571046,-0.748624503,0.4730167386,0.5269832614
5799.jpg,49,28,47,36,41,44,25,36,38,31,5,43,7.3222854137,53.6158636804,-1.2466327603,0.2874711533,0.7125288467
5800.jpg,3,2,3,2,3,2,2,2,2,3,1,1,-0.6239023209,0.389254106,-0.3717479694,0.6895280028,0.3104719972
5801.jpg,29,28,32,31,30,34,29,29,30,20,4,25,10.4780452252,109.7894317403,-4.4630352867,0.0115273214,0.9884726786
5802.jpg,42,50,43,47,45,45,44,49,45,47,5,54,-1.51263237,2.2880566868,-0.0421637807,0.9587127491,0.0412872509
5803.jpg,28,22,29,29,32,28,26,28,28,24,4,37,3.7006926536,13.6951261168,-0.3722286198,0.6891966605,0.3108033395
5804.jpg,28,26,24,25,25,27,27,26,26,20,3,15,6.1098029613,37.3296922265,-2.4342519684,0.0876632974,0.9123367026
5805.jpg,42,48,47,45,45,46,44,45,45,53,7,99,-7.9028782845,62.455485179,-0.6324295633,0.5312994061,0.4687005939
5806.jpg,63,75,73,71,74,70,75,75,72,89,6,70,-16.8246464729,283.0687289388,-4.0254403329,0.01785556,0.98214444
5807.jpg,48,41,32,41,43,47,39,41,41,39,7,87,2.4814114571,6.1574028193,-0.0710155562,0.9314474022,0.0685525978
5808.jpg,70,73,72,70,72,71,72,74,72,79,9,166,-7.2087802887,51.9665132509,-0.3131132907,0.7311670734,0.2688329266
5809.jpg,30,38,52,49,49,56,46,54,47,86,5,53,-39.316339016,1545.7745136182,-29.1693682522,2.14735737179131E-013,1
5810.jpg,67,70,67,69,71,65,68,69,68,69,5,60,-0.827381134,0.6845595409,-0.0114800824,0.9885855623,0.0114144377
5811.jpg,35,35,36,40,38,38,34,38,37,29,6,70,7.5569562912,57.1075883869,-0.8109448277,0.4444379505,0.5555620495
5812.jpg,24,28,23,23,24,27,23,26,25,25,5,42,-0.232380867,0.0540008673,-0.001295956,0.9987048834,0.0012951166
5813.jpg,48,47,48,46,52,46,48,47,48,46,7,107,1.7456893921,3.0474314537,-0.0283679363,0.9720306556,0.0279693444
5814.jpg,29,27,24,25,15,33,24,28,26,40,7,97,-14.4348266125,208.3642193322,-2.1520795142,0.116242179,0.883757821
5815.jpg,28,30,36,29,33,37,31,32,32,39,6,61,-6.9667551517,48.5356773444,-0.7895358472,0.4540554975,0.5459445025
5816.jpg,29,35,29,33,29,34,34,29,31,30,5,52,1.4472365379,2.0944935967,-0.0404259271,0.9603803,0.0396197
