Image,Predicted Age1,Predicted Age2,Predicted Age3,Predicted Age4,Predicted Age5,Predicted Age6,Predicted Age7,Predicted Age8,Average,Target_Age,Total_Sigma
5691.jpg,31 ,34 ,32 ,30 ,36 ,32,33 ,32 ,,34,50.9612
5692.jpg,57 ,57 ,59 ,55 ,58 ,52,58 ,58 ,,64,117.3964
5693.jpg,41 ,46 ,41 ,34 ,41 ,36,37 ,40 ,,30,50.277
5694.jpg,24 ,25 ,26 ,22 ,25 ,27,24 ,28 ,,16,9.6605
5695.jpg,30 ,38 ,27 ,31 ,31 ,35,32 ,34 ,,37,85.6594
5696.jpg,28 ,26 ,26 ,31 ,29 ,27,27 ,26 ,,22,23.8449
5697.jpg,27 ,31 ,30 ,32 ,36 ,29,33 ,28 ,,38,71.7423
5698.jpg,30 ,36 ,40 ,39 ,35 ,36,41 ,28 ,,46,95.8685
5699.jpg,33 ,36 ,34 ,39 ,44 ,38,35 ,36 ,,35,63.7107
5700.jpg,37 ,45 ,67 ,39 ,59 ,63,56 ,29 ,,85,92.6706
5701.jpg,31 ,33 ,31 ,33 ,34 ,29,26 ,31 ,,33,95.395
5702.jpg,29 ,32 ,29 ,36 ,34 ,29,38 ,32 ,,31,32.859
5703.jpg,41 ,31 ,30 ,62 ,40 ,34,22 ,32 ,,84,49.017
5704.jpg,36 ,36 ,34 ,35 ,38 ,35,35 ,36 ,,27,35.5512
5705.jpg,46 ,48 ,48 ,46 ,47 ,48,51 ,48 ,,46,118.3537
5706.jpg,29 ,32 ,31 ,32 ,33 ,33,30 ,30 ,,27,87.595
5707.jpg,25 ,28 ,26 ,25 ,25 ,29,28 ,29 ,,23,32.6785
5708.jpg,30 ,26 ,37 ,35 ,27 ,40,39 ,26 ,,31,71.9515
5709.jpg,51 ,51 ,55 ,59 ,53 ,58,52 ,57 ,,54,75.4418
5710.jpg,76 ,77 ,77 ,70 ,77 ,72,73 ,75 ,,80,64.9306
5711.jpg,27 ,23 ,26 ,24 ,25 ,27,26 ,26 ,,36,49.4903
5712.jpg,10 ,9 ,10 ,7 ,8 ,9,8 ,8 ,,11,9.3044
5713.jpg,37 ,31 ,30 ,31 ,30 ,31,34 ,29 ,,34,55.5608
5714.jpg,55 ,57 ,54 ,54 ,54 ,54,56 ,54 ,,56,99.4828
5715.jpg,47 ,51 ,49 ,51 ,48 ,50,49 ,51 ,,44,60.8601
5716.jpg,29 ,26 ,29 ,28 ,29 ,29,28 ,28 ,,28,31.9778
5717.jpg,30 ,34 ,34 ,39 ,34 ,34,35 ,36 ,,27,51.2299
5718.jpg,38 ,40 ,38 ,39 ,41 ,38,40 ,41 ,,42,119.4872
5719.jpg,35 ,27 ,28 ,34 ,37 ,48,32 ,42 ,,43,67.2576
5720.jpg,27 ,26 ,27 ,23 ,27 ,29,31 ,26 ,,26,28.3828
5721.jpg,32 ,33 ,37 ,39 ,26 ,30,39 ,40 ,,31,70.2091
5722.jpg,31 ,40 ,26 ,37 ,27 ,24,35 ,30 ,,25,23.4515
5723.jpg,23 ,20 ,35 ,21 ,21 ,21,21 ,21 ,,29,55.2663
5724.jpg,42 ,43 ,37 ,39 ,42 ,42,42 ,40 ,,43,62.9917
5725.jpg,6 ,8 ,5 ,7 ,8 ,6,7 ,7 ,,7,5.6191
5726.jpg,33 ,36 ,35 ,35 ,36 ,36,37 ,34 ,,30,41.7895
5727.jpg,29 ,14 ,33 ,28 ,32 ,38,26 ,26 ,,26,34.5706
5728.jpg,21 ,23 ,22 ,22 ,24 ,22,21 ,22 ,,16,41.1072
5729.jpg,28 ,28 ,31 ,33 ,27 ,31,37 ,37 ,,39,97.4404
5730.jpg,30 ,31 ,33 ,32 ,30 ,29,31 ,30 ,,29,38.4719
5731.jpg,23 ,19 ,14 ,18 ,20 ,18,17 ,19 ,,13,14.3432
5732.jpg,59 ,63 ,64 ,60 ,62 ,54,58 ,62 ,,77,98.4668
5733.jpg,41 ,38 ,43 ,42 ,44 ,44,48 ,43 ,,43,69.88
5734.jpg,50 ,51 ,48 ,48 ,48 ,44,44 ,49 ,,44,81.0993
5735.jpg,22 ,21 ,21 ,22 ,22 ,20,21 ,22 ,,23,11.4938
5736.jpg,50 ,49 ,47 ,45 ,44 ,51,44 ,45 ,,39,85.856
5737.jpg,21 ,21 ,21 ,22 ,21 ,19,21 ,21 ,,28,22.3608
5738.jpg,28 ,31 ,31 ,29 ,22 ,28,28 ,23 ,,37,36.8473
5739.jpg,31 ,33 ,31 ,32 ,31 ,35,32 ,32 ,,33,52.7548
5740.jpg,27 ,28 ,29 ,29 ,27 ,28,27 ,28 ,,31,45.0888
5741.jpg,32 ,30 ,49 ,51 ,53 ,41,44 ,37 ,,32,66.9474
5742.jpg,25 ,25 ,31 ,22 ,28 ,27,28 ,29 ,,28,42.58
5743.jpg,43 ,42 ,50 ,42 ,42 ,46,42 ,46 ,,42,70.018
5744.jpg,26 ,24 ,26 ,24 ,25 ,23,24 ,26 ,,30,39.2742
5745.jpg,49 ,51 ,50 ,50 ,56 ,53,52 ,54 ,,53,97.7147
5746.jpg,57 ,57 ,59 ,59 ,64 ,65,58 ,62 ,,73,114.6988
5747.jpg,30 ,30 ,30 ,31 ,30 ,31,32 ,31 ,,31,39.8352
5748.jpg,28 ,29 ,30 ,23 ,29 ,28,27 ,26 ,,30,57.3333
5749.jpg,37 ,38 ,41 ,37 ,43 ,36,38 ,37 ,,38,86.3748
5750.jpg,40 ,42 ,31 ,39 ,30 ,29,36 ,33 ,,47,138.3725
5751.jpg,31 ,32 ,27 ,32 ,32 ,40,32 ,29 ,,27,107.3688
5752.jpg,37 ,44 ,39 ,40 ,44 ,42,43 ,40 ,,37,76.4986
5753.jpg,13 ,19 ,23 ,10 ,18 ,9,7 ,10 ,,38,177.6343
5754.jpg,7 ,6 ,7 ,9 ,11 ,7,7 ,6 ,,4,3.474
5755.jpg,29 ,20 ,24 ,22 ,23 ,19,31 ,24 ,,25,70.7728
5756.jpg,27 ,26 ,27 ,28 ,26 ,28,26 ,28 ,,32,34.9306
5757.jpg,28 ,37 ,27 ,29 ,27 ,32,32 ,33 ,,28,44.3102
5758.jpg,16 ,9 ,8 ,15 ,14 ,8,15 ,18 ,,10,6.4931
5759.jpg,34 ,34 ,42 ,35 ,46 ,31,44 ,34 ,,44,62.4654
5760.jpg,46 ,46 ,32 ,39 ,48 ,41,48 ,45 ,,33,158.0118
5761.jpg,49 ,57 ,52 ,52 ,56 ,54,53 ,44 ,,44,35.8615
5762.jpg,28 ,47 ,33 ,48 ,45 ,45,49 ,34 ,,50,59.4583
5763.jpg,29 ,29 ,33 ,30 ,28 ,29,30 ,29 ,,30,46.6039
5764.jpg,25 ,19 ,20 ,30 ,14 ,30,23 ,26 ,,29,135.055
5765.jpg,24 ,29 ,37 ,27 ,24 ,29,41 ,27 ,,31,56.7147
5766.jpg,31 ,37 ,31 ,27 ,29 ,32,25 ,28 ,,31,57.097
5767.jpg,35 ,36 ,37 ,37 ,39 ,39,33 ,36 ,,43,93.8409
5768.jpg,30 ,32 ,33 ,27 ,26 ,35,26 ,32 ,,33,56.3708
5769.jpg,67 ,71 ,67 ,71 ,69 ,66,72 ,70 ,,86,8.0653
5770.jpg,30 ,35 ,35 ,33 ,32 ,31,30 ,36 ,,32,30.0864
5771.jpg,42 ,48 ,45 ,42 ,50 ,46,50 ,41 ,,49,142.9218
5772.jpg,60 ,57 ,55 ,63 ,60 ,55,59 ,61 ,,65,96.2221
5773.jpg,23 ,19 ,21 ,25 ,20 ,22,25 ,12 ,,18,2.3878
5774.jpg,40 ,38 ,42 ,38 ,38 ,38,40 ,39 ,,37,117.9645
5775.jpg,51 ,49 ,54 ,54 ,52 ,52,50 ,53 ,,53,84.7535
5776.jpg,45 ,59 ,46 ,58 ,55 ,31,65 ,41 ,,84,124.8757
5777.jpg,42 ,54 ,35 ,39 ,44 ,40,40 ,39 ,,35,110.9744
5778.jpg,52 ,54 ,50 ,51 ,53 ,54,48 ,48 ,,50,132.2393
5779.jpg,59 ,40 ,62 ,45 ,51 ,62,59 ,63 ,,69,67.6096
5780.jpg,35 ,36 ,33 ,33 ,31 ,33,34 ,39 ,,38,82.8508
5781.jpg,37 ,39 ,36 ,29 ,35 ,38,33 ,31 ,,29,63.8922
5782.jpg,56 ,59 ,58 ,58 ,56 ,61,57 ,56 ,,61,59.9357
5783.jpg,25 ,27 ,21 ,26 ,23 ,24,25 ,23 ,,27,61.2389
5784.jpg,27 ,33 ,28 ,27 ,28 ,36,29 ,33 ,,22,16.8941
5785.jpg,21 ,22 ,24 ,24 ,21 ,20,20 ,24 ,,25,29.375
5786.jpg,49 ,51 ,54 ,53 ,55 ,48,49 ,47 ,,42,52.6077
5787.jpg,46 ,48 ,50 ,41 ,46 ,49,42 ,41 ,,39,65.595
5788.jpg,32 ,30 ,27 ,28 ,28 ,26,29 ,38 ,,26,17.2915
5789.jpg,54 ,57 ,62 ,54 ,56 ,58,61 ,56 ,,65,96.705
5790.jpg,23 ,24 ,27 ,21 ,12 ,26,28 ,22 ,,27,42.9612
5791.jpg,24 ,26 ,22 ,24 ,22 ,24,21 ,24 ,,22,33.9435
5792.jpg,5 ,5 ,5 ,4 ,5 ,5,6 ,4 ,,3,1.5402
5793.jpg,31 ,35 ,35 ,35 ,28 ,28,28 ,32 ,,24,28.2216
5794.jpg,37 ,37 ,55 ,47 ,40 ,40,40 ,38 ,,47,71.9158
5795.jpg,50 ,47 ,47 ,46 ,46 ,51,48 ,48 ,,59,82.7659
5796.jpg,29 ,30 ,29 ,32 ,30 ,32,30 ,23 ,,32,59.68
5797.jpg,33 ,34 ,32 ,33 ,36 ,36,34 ,33 ,,34,38.1797
5798.jpg,38 ,38 ,40 ,32 ,36 ,36,29 ,40 ,,42,52.5928
5799.jpg,49 ,28 ,47 ,36 ,41 ,29,25 ,36 ,,31,43.0085
5800.jpg,3 ,2 ,3 ,2 ,3 ,3,2 ,2 ,,3,1.0471
5801.jpg,29 ,28 ,32 ,31 ,30 ,39,29 ,29 ,,20,24.5997
5802.jpg,42 ,50 ,43 ,47 ,45 ,42,44 ,49 ,,47,54.2659
5803.jpg,28 ,22 ,29 ,29 ,32 ,30,26 ,28 ,,24,36.7922
5804.jpg,28 ,26 ,24 ,25 ,25 ,28,27 ,26 ,,20,15.3352
5805.jpg,42 ,48 ,47 ,45 ,45 ,46,44 ,45 ,,53,98.7548
5806.jpg,63 ,75 ,73 ,71 ,74 ,70,75 ,75 ,,89,70.3199
5807.jpg,48 ,41 ,32 ,41 ,43 ,38,39 ,41 ,,39,86.705
5808.jpg,70 ,73 ,72 ,70 ,72 ,70,72 ,74 ,,79,165.9671
5809.jpg,30 ,38 ,52 ,49 ,49 ,53,46 ,54 ,,86,52.9931
5810.jpg,67 ,70 ,67 ,69 ,71 ,65,68 ,69 ,,69,59.6302
5811.jpg,35 ,35 ,36 ,40 ,38 ,38,34 ,38 ,,29,70.4211
5812.jpg,24 ,28 ,23 ,23 ,24 ,26,23 ,26 ,,25,41.6687
5813.jpg,48 ,47 ,48 ,46 ,52 ,47,48 ,47 ,,46,107.4252
5814.jpg,29 ,27 ,24 ,25 ,15 ,32,24 ,28 ,,40,96.8199
5815.jpg,28 ,30 ,36 ,29 ,33 ,32,31 ,32 ,,39,61.4737
5816.jpg,29 ,35 ,29 ,33 ,29 ,33,34 ,29 ,,30,51.8107
5817.jpg,21 ,13 ,11 ,26 ,5 ,17,11 ,22 ,,22,45.126
5818.jpg,30 ,28 ,24 ,35 ,27 ,36,37 ,31 ,,27,35.5266
5819.jpg,31 ,39 ,34 ,32 ,29 ,31,31 ,32 ,,36,43.5371
5820.jpg,30 ,21 ,29 ,27 ,33 ,23,19 ,24 ,,31,156.5943
5821.jpg,24 ,23 ,24 ,28 ,21 ,28,23 ,31 ,,30,136.8601
5822.jpg,33 ,35 ,32 ,30 ,31 ,35,29 ,30 ,,32,63.955
5823.jpg,12 ,11 ,20 ,26 ,9 ,10,22 ,6 ,,11,8.821
5824.jpg,41 ,51 ,55 ,51 ,58 ,57,48 ,58 ,,67,112.2673
5825.jpg,38 ,39 ,38 ,37 ,42 ,37,40 ,42 ,,40,50.1213
5826.jpg,18 ,20 ,19 ,12 ,17 ,20,11 ,22 ,,29,44.2673
5827.jpg,37 ,43 ,47 ,36 ,37 ,39,41 ,53 ,,46,106.7561
5828.jpg,42 ,40 ,46 ,38 ,43 ,41,40 ,43 ,,41,82.4089
5829.jpg,51 ,44 ,53 ,47 ,46 ,53,51 ,49 ,,47,64.5665
5830.jpg,46 ,46 ,46 ,45 ,45 ,47,47 ,47 ,,44,43.626
5831.jpg,25 ,28 ,26 ,26 ,27 ,29,27 ,27 ,,26,22.8989
5832.jpg,25 ,23 ,24 ,24 ,21 ,24,23 ,23 ,,27,34.6881
5833.jpg,25 ,32 ,33 ,21 ,20 ,26,35 ,30 ,,15,6.7553
5834.jpg,44 ,47 ,46 ,48 ,52 ,44,51 ,46 ,,63,78.1696
5835.jpg,28 ,31 ,31 ,33 ,29 ,30,30 ,29 ,,34,80.995
5836.jpg,28 ,33 ,38 ,33 ,33 ,29,32 ,30 ,,38,53.5385
5837.jpg,30 ,30 ,38 ,39 ,34 ,31,25 ,44 ,,38,52.7626
5838.jpg,45 ,52 ,48 ,52 ,45 ,49,52 ,48 ,,38,126.9901
5839.jpg,41 ,41 ,41 ,41 ,45 ,44,41 ,41 ,,35,40.2562
5840.jpg,38 ,56 ,60 ,38 ,53 ,39,43 ,23 ,,14,5.7244
5841.jpg,57 ,58 ,62 ,63 ,61 ,57,59 ,59 ,,63,43.4419
5842.jpg,55 ,46 ,51 ,52 ,42 ,46,55 ,49 ,,50,360.1887
5843.jpg,32 ,35 ,41 ,30 ,33 ,43,41 ,32 ,,40,126.3195
5844.jpg,37 ,36 ,36 ,37 ,35 ,40,48 ,32 ,,40,205.9
5845.jpg,29 ,32 ,36 ,34 ,36 ,34,31 ,30 ,,29,0.01
5846.jpg,26 ,24 ,25 ,31 ,26 ,24,25 ,24 ,,27,37.0046
5847.jpg,21 ,27 ,26 ,27 ,27 ,24,24 ,22 ,,21,14.2748
5848.jpg,41 ,39 ,41 ,40 ,39 ,42,41 ,41 ,,42,35.3572
5849.jpg,36 ,40 ,42 ,40 ,40 ,47,37 ,40 ,,56,135.4714
5850.jpg,25 ,29 ,30 ,28 ,29 ,29,28 ,29 ,,27,49.126
5852.jpg,23 ,24 ,24 ,26 ,25 ,24,27 ,28 ,,25,18.5042
5853.jpg,40 ,42 ,37 ,39 ,39 ,39,39 ,40 ,,47,33.2639
5854.jpg,25 ,27 ,27 ,27 ,27 ,27,28 ,27 ,,29,34.6851
5855.jpg,16 ,19 ,9 ,21 ,15 ,21,16 ,19 ,,23,40.9178
5856.jpg,45 ,42 ,50 ,39 ,42 ,39,43 ,46 ,,40,174.6456
5857.jpg,29 ,34 ,29 ,29 ,31 ,30,30 ,33 ,,26,25.9014
5858.jpg,28 ,29 ,30 ,27 ,27 ,26,23 ,30 ,,32,58.4563
5859.jpg,29 ,30 ,31 ,35 ,31 ,31,31 ,32 ,,30,35.1164
5860.jpg,33 ,31 ,34 ,34 ,29 ,32,33 ,33 ,,32,35.3557
5861.jpg,52 ,53 ,50 ,53 ,56 ,53,50 ,57 ,,53,60.072
5862.jpg,40 ,36 ,42 ,38 ,32 ,36,33 ,35 ,,29,28.447
5863.jpg,23 ,24 ,27 ,22 ,22 ,24,25 ,21 ,,27,18.1953
5864.jpg,42 ,49 ,39 ,40 ,37 ,40,36 ,34 ,,42,76.1219
5865.jpg,23 ,24 ,23 ,25 ,22 ,23,25 ,24 ,,26,18.6828
5866.jpg,25 ,24 ,25 ,28 ,25 ,22,22 ,26 ,,24,19.0611
5867.jpg,72 ,67 ,65 ,62 ,71 ,68,66 ,69 ,,65,93.3908
5868.jpg,36 ,41 ,36 ,40 ,43 ,15,45 ,45 ,,42,69.4252
5869.jpg,32 ,27 ,33 ,28 ,29 ,32,30 ,31 ,,29,28.7334
5870.jpg,32 ,33 ,33 ,36 ,33 ,32,34 ,37 ,,38,92.6
5871.jpg,27 ,28 ,29 ,26 ,28 ,24,30 ,26 ,,31,123.0817
5872.jpg,42 ,43 ,43 ,43 ,43 ,42,45 ,44 ,,43,65.3587
5873.jpg,36 ,46 ,35 ,41 ,45 ,36,37 ,40 ,,42,137.7304
5874.jpg,10 ,15 ,19 ,10 ,14 ,16,16 ,11 ,,26,43.3923
5875.jpg,46 ,46 ,44 ,47 ,50 ,48,42 ,41 ,,46,96.9321
5876.jpg,33 ,37 ,35 ,32 ,35 ,35,37 ,33 ,,35,30.5825
5877.jpg,35 ,38 ,43 ,35 ,43 ,41,41 ,42 ,,55,61.3975
5878.jpg,27 ,34 ,25 ,28 ,27 ,30,25 ,33 ,,29,34.02
5879.jpg,32 ,36 ,32 ,36 ,36 ,35,33 ,39 ,,36,66.0302
5880.jpg,25 ,22 ,24 ,22 ,22 ,22,24 ,22 ,,26,33.9848
5881.jpg,38 ,35 ,37 ,42 ,40 ,47,41 ,38 ,,50,101.7239
5882.jpg,40 ,48 ,48 ,52 ,55 ,53,53 ,55 ,,61,121.9127
5883.jpg,57 ,56 ,54 ,57 ,55 ,59,59 ,58 ,,69,73.3491
5884.jpg,31 ,36 ,33 ,30 ,59 ,53,45 ,49 ,,22,33.7778
5885.jpg,30 ,33 ,36 ,36 ,34 ,32,31 ,29 ,,21,44.1183
5886.jpg,42 ,42 ,42 ,44 ,42 ,41,43 ,45 ,,46,60.3601
5887.jpg,33 ,34 ,49 ,42 ,47 ,50,51 ,41 ,,26,27.5845
5888.jpg,35 ,40 ,41 ,38 ,40 ,38,38 ,40 ,,41,52.5374
5889.jpg,12 ,6 ,10 ,7 ,4 ,3,4 ,7 ,,4,2.2618
5890.jpg,33 ,33 ,32 ,34 ,32 ,34,34 ,36 ,,41,52.9554
5891.jpg,33 ,37 ,36 ,34 ,30 ,36,34 ,40 ,,30,40.4778
5892.jpg,59 ,56 ,58 ,59 ,58 ,63,57 ,62 ,,69,102.4563
5893.jpg,27 ,28 ,28 ,27 ,30 ,29,27 ,29 ,,28,34.6618
5894.jpg,31 ,36 ,26 ,33 ,37 ,37,31 ,33 ,,29,27.2812
5895.jpg,47 ,59 ,43 ,44 ,48 ,53,59 ,52 ,,53,103.9127
5896.jpg,23 ,13 ,22 ,21 ,11 ,11,19 ,26 ,,24,31.7632
5897.jpg,2 ,2 ,1 ,2 ,2 ,2,1 ,2 ,,1,0.4155
5898.jpg,42 ,50 ,45 ,47 ,45 ,44,46 ,45 ,,54,123.7791
5899.jpg,27 ,26 ,27 ,28 ,24 ,26,27 ,24 ,,24,46.7009
5900.jpg,35 ,36 ,31 ,39 ,25 ,31,30 ,33 ,,13,36.1163
5901.jpg,28 ,27 ,29 ,25 ,28 ,28,27 ,26 ,,27,32.2717
5902.jpg,42 ,50 ,47 ,52 ,55 ,52,47 ,53 ,,72,50.6884
5903.jpg,39 ,43 ,39 ,35 ,35 ,43,35 ,41 ,,40,48.2507
5904.jpg,37 ,37 ,55 ,54 ,23 ,55,32 ,50 ,,34,60.5523
5905.jpg,21 ,33 ,30 ,13 ,12 ,15,29 ,11 ,,37,66.7219
5906.jpg,28 ,31 ,31 ,22 ,35 ,33,34 ,41 ,,34,74.2433
5907.jpg,32 ,13 ,16 ,27 ,27 ,12,28 ,21 ,,24,0.1023
5908.jpg,34 ,37 ,34 ,37 ,33 ,29,36 ,36 ,,38,41.1337
5909.jpg,53 ,49 ,48 ,51 ,51 ,53,51 ,48 ,,56,107.3846
5910.jpg,40 ,40 ,40 ,40 ,42 ,44,43 ,44 ,,36,102.7036
5911.jpg,39 ,41 ,41 ,38 ,37 ,39,41 ,35 ,,39,65.9284
5912.jpg,37 ,31 ,33 ,30 ,36 ,30,32 ,33 ,,33,33.8075
5913.jpg,21 ,24 ,21 ,22 ,22 ,23,22 ,23 ,,19,14.3141
5914.jpg,25 ,28 ,29 ,32 ,32 ,28,31 ,26 ,,18,21.1072
5915.jpg,31 ,33 ,33 ,34 ,33 ,34,29 ,31 ,,30,45.3044
5916.jpg,49 ,48 ,46 ,43 ,43 ,48,42 ,41 ,,49,143.8194
5917.jpg,31 ,35 ,34 ,34 ,35 ,35,35 ,38 ,,32,48.6717
5918.jpg,25 ,27 ,24 ,28 ,19 ,21,28 ,27 ,,24,0.1053
5919.jpg,55 ,55 ,50 ,49 ,53 ,48,56 ,46 ,,52,65.1624
5920.jpg,24 ,25 ,28 ,26 ,27 ,24,24 ,25 ,,22,24.405
5921.jpg,25 ,28 ,32 ,30 ,28 ,32,29 ,31 ,,29,44.5759
